"","mother","dispersal_dist"
"1","4S0164",13.378223
"2","4S0169",14.50289245
"3","4S0189",33.90476395
"4","4S0197",35.4749052
"5","4S0211",47.06783875
"6","4S0229",5.2301147
"7","4S0232",20.030961
"8","4S0238",114.7322701
"9","JV0605",17.1412981
"10","JV0607",34.1470248
"11","JV0612",3.2209315
"12","JV0624",20.9601574
"13","JV0786",26.0073913
"14","JV0787",19.664604
"15","JV0853",3.9655769
"16","S0043",644.9063413
"17","S0073",108.987869
"18","S0075",18.1435967
"19","S0079",24.5690578
"20","S0088",129.8059802
"21","S0094",41.5415021
"22","S0109",29.7774747
"23","S0151",230.86277105
"24","S0157",311.3421631
"25","S0867",172.2733656
"26","S0868",62.3117461
"27","S0870",15.3436143
"28","Z0357",403.3164004
"29","Z0377",8.4216447
"30","Z0386",201.738302
"31","Z0562mother",262.521713
"32","Z0598",44.87116
"33","Z0762",1.8920095
"34","Z0765",3.4294023
"35","Z0776",17.0518413
